Point ID;EAST?NG;NORTH?NG;HÖHE;LAT;LONG;;
1;683570,1983;5341858,58;505,74;48,20339396;11,47068636;;48,2033939597359,11,4706863572531
2;683588,5344;5341849,929;505,74;48,2033109;11,47092916;;48,2033108983259,11,4709291639296
3;683620,8401;5341834,687;505,74;48,20316455;11,47135695;;48,2031645531739,11,4713569540802
4;683631,4527;5341829,316;505,74;48,20311321;11,47149733;;48,2031132065645,11,4714973274969
5;683641,7517;5341823,367;505,74;48,20305676;11,47163323;;48,2030567551513,11,4716332338673
6;683692,5179;5341792,138;505,74;48,20276137;11,47230232;;48,2027613676964,11,472302319513
7;683704,2789;5341784,519;505,74;48,20268948;11,47245716;;48,2026894815742,11,4724571591152
8;683715,6713;5341776,359;505,74;48,20261284;11,47260681;;48,2026128391405,11,4726068079565
9;683750,1672;5341750,408;505,74;48,2023696;11,4730594;;48,2023695964227,11,4730594001162
10;683758,3886;5341743,86;505,739;48,20230836;11,47316711;;48,2023083604346,11,4731671084604
11;683766,2352;5341736,867;505,735;48,20224323;11,47326958;;48,2022432329584,11,4732695844031
12;683770,6699;5341732,69;505,729;48,2022044;11,4733274;;48,2022044045075,11,4733274037967
13;683790,4092;5341714,094;505,712;48,20203154;11,47358476;;48,2020315410957,11,4735847611041
14;683802,1411;5341703,609;505,691;48,2019339;11,47373796;;48,2019339007621,11,4737379643084
15;683814,4065;5341693,753;505,675;48,20184176;11,47389861;;48,2018417595296,11,4738986125864
16;683827,1718;5341684,554;505,659;48,20175538;11,47406627;;48,2017553787723,11,4740662663006
17;683840,4019;5341676,037;505,643;48,20167499;11,47424046;;48,2016749933344,11,4742404643574
18;683854,0602;5341668,225;505,627;48,20160082;11,47442072;;48,2016008205188,11,4744207246388
19;683868,1094;5341661,14;505,611;48,20153307;11,47460656;;48,2015330688447,11,4746065551926
20;683911,0173;5341640,896;505,579;48,20133868;11,4751747;;48,2013386791785,11,4751747045335
21;683953,9252;5341620,652;505,532;48,20114429;11,47574285;;48,2011442867704,11,4757428494916
22;683996,8331;5341600,408;505,484;48,20094989;11,47631099;;48,2009498916205,11,4763109900669
23;684039,741;5341580,164;505,437;48,20075549;11,47687913;;48,2007554937289,11,4768791262596
24;684082,6489;5341559,92;505,39;48,20056109;11,47744726;;48,2005610930956,11,4774472580694
25;684125,5568;5341539,676;505,342;48,20036669;11,47801539;;48,2003666897207,11,4780153854965
26;684168,4647;5341519,432;505,318;48,20017228;11,47858351;;48,2001722836041,11,4785835085408
27;684211,3727;5341499,188;505,341;48,19997787;11,47915163;;48,1999778747171,11,4791516285468
28;684254,2806;5341478,944;505,389;48,19978346;11,47971974;;48,1997834631176,11,4797197428255
29;684297,1885;5341458,7;505,436;48,19958905;11,48028785;;48,1995890487768,11,4802878527213
30;684310,1436;5341452,691;505,467;48,19953128;11,48045943;;48,1995312769836,11,4804594250133
31;684323,177;5341446,855;505,484;48,19947504;11,48063212;;48,1994750372095,11,4806321247715
32;684336,2862;5341441,191;505,496;48,19942032;11,48080592;;48,1994203211866,11,4808059179604
33;684349,4691;5341435,701;505,511;48,19936715;11,48098078;;48,1993671474964,11,4809807772259
34;684362,7234;5341430,385;505,526;48,19931552;11,48115667;;48,1993155168015,11,4811566716567
