Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags	Time	Energy
11471333;	48203180;	504	51	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	4	2419
11471383;	48203163;	504	4	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	4	2605
11472050;	48202883;	504	59	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	9	5115
11472856;	48202489;	502	74	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	15	7553
11473061;	48202400;	502	18	1000	0	0	0	0	railway=rail	railway=signal	16	8209
11473201;	48202340;	502	12	1000	0	0	0	0	railway=rail	railway=signal	17	8658
11473227;	48202329;	502	2	1000	0	0	0	0	railway=rail	railway=switch	17	8734
11473551;	48202208;	502	28	1000	0	0	0	0	railway=rail	railway=switch	19	9872
11474963;	48201692;	501	120	1000	0	0	0	0	railway=rail	railway=signal	29	13869
11480398;	48199831;	503	112	1000	0	0	0	0	railway=rail		38	18721
11484121;	48198880;	504	638	1000	0	0	0	0	railway=rail	railway=signal	51	30567
11485020;	48198723;	503	69	1000	0	0	0	0	railway=rail	railway=switch	56	33344
11485073;	48198715;	503	4	1000	0	0	0	0	railway=rail	railway=switch	56	33509
11486063;	48198558;	502	76	1000	0	0	0	0	railway=rail	railway=switch	62	36132
11486165;	48198541;	502	8	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	63	36435
11487113;	48198401;	502	72	1000	0	0	0	0	railway=rail	railway=switch	69	39185
11487140;	48198395;	502	2	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	69	39274
11487258;	48198370;	503	9	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	70	39712
11488001;	48198226;	503	57	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	74	42481
11488042;	48198217;	503	3	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	75	42618
11488299;	48198158;	503	20	1000	0	0	0	0	reversedirection=yes railway=rail	railway=unknown	76	43491
11488685;	48198076;	502	30	1000	0	0	0	0	reversedirection=yes railway=rail	railway=signal	79	44574
11489093;	48198005;	501	31	1000	0	0	0	0	reversedirection=yes railway=rail	railway=switch	81	45582
11489186;	48197984;	501	5	1000	0	0	0	0	railway=rail		81	45744
